prof,code,lecture,workload,personality,overall,challenge,learning
Prachi Sharma,CS5200,4.083333333333334,12.0,4.236111111111111,3.8472222222222223,4.027777777777778,3.9126984126984126
Prajna Kulkarni,CS1200,3.604166666666667,12.0,3.529761904761905,3.479166666666667,3.6761363636363633,3.8367346938775513
Prakash Somasundaram,CS5200,4.257258940311825,4.0,4.050527695239234,4.423921911421911,3.2750376226337767,3.7740527939703767
Prakriti Dave,CS5010,3.9,12.0,3.875,3.475,3.875,4.071428571428571
Priyank Chaudhary,CS6650,4.107142857142857,20.0,4.095238095238096,4.107142857142858,4.189075630252101,4.1348289315726285
Priyanka Bishnoi,CS1210,4.653535353535354,18.0,4.6856902356902355,4.577272727272727,4.683333333333334,4.617604617604618
Qi Yu,CS6140,3.6938560234699933,4.0,3.8056791683262268,3.6095692216280453,3.111074187250658,3.4232603344368053
Rachel Laskin,CS6240,3.5694444444444446,16.0,3.7407407407407405,3.4166666666666665,3.80718954248366,3.5972222222222223
Rajmohan Rajaraman,CS5800,4.306034482758621,16.0,3.8390804597701145,4.310344827586206,4.448275862068966,4.297325826882477
Rajmohan Rajaraman,CS7880,4.734009406063937,20.0,4.499742961518375,4.7917387774144204,4.705480099511164,4.64722062614944
Raman Chandrasekar,CS5100,4.916666666666667,16.0,4.055555555555556,5.0,4.666666666666666,4.952380952380952
Raman Chandrasekar,CS6200,4.580357142857143,12.0,4.761904761904762,4.75,4.510989010989011,4.520408163265307
Rathi Sowumya Thirunavukkarasu,CS5010,4.59375,13.0,4.722222222222222,4.625,4.405555555555555,4.583333333333333
Ravi Sundaram,CS1800,4.28125,20.0,4.375,4.196428571428571,4.180147058823529,4.2011554621848735
Ravi Sundaram,CS4800,3.5631114957822803,10.0,3.4160242133916023,3.5048639222332723,4.200872522922213,3.7518135532770147
Ravi Sundaram,CS5800,3.5439814814814814,12.0,3.104700854700855,3.4551282051282053,4.277777777777778,3.8624338624338628
Ravi Sundaram,CS7880,3.829966931216931,16.0,3.3139668973002308,3.875,4.392857142857142,3.902615268329554
Reid Johnson,CS6220,4.458333333333333,8.0,4.772222222222222,4.583333333333334,4.55,4.428571428571429
Ricardo Baeza-Yates,CS5800,4.458333333333334,16.0,4.611111111111112,4.666666666666667,4.333333333333334,4.333333333333333
Robert Munro,CS5500,3.9230769230769234,16.0,3.9743589743589745,3.769230769230769,4.3076923076923075,3.913919413919414
Robert Platt,CS4100,4.3069444444444445,12.0,4.283333333333333,4.25,4.275,4.2785714285714285
Robert Platt,CS4610,3.300100916182874,14.0,3.3911098008385743,3.2485259433962264,4.0238630865989355,3.604104286852622
Robert Platt,CS5100,3.819444444444444,10.0,3.7253086419753085,3.8287037037037037,4.173611111111111,3.9576719576719577
Robert Platt,CS5335,3.6259863328495405,14.0,3.3081236897274637,3.6541509433962265,4.108029753265603,3.87866597516431
Robert Platt,CS7180,4.131944444444444,11.333333333333334,3.8743827160493827,4.223148148148147,4.300718094255246,4.202116402116403
Rukmini Vijaykumar,CS5800,4.196146245059289,14.0,4.525362318840579,4.265810276679842,4.2359307359307365,4.309147374364765
Rukmini Vijaykumar,CS6200,3.0256916996047427,12.0,3.6189378254595646,2.840909090909091,4.113636363636363,3.4582156973461324
Rutu Mulkar-Mehta,CS5100,3.203125,12.0,3.881944444444444,2.833333333333333,4.111111111111111,3.7400793650793647
Saber ShokatFadaee,CS5100,3.858333333333334,12.0,3.233333333333334,3.7,3.8666666666666667,3.9904761904761905
Sai Krishna Karanam,CS5001,4.5,14.0,3.9166666666666665,4.25,4.25,4.428571428571429
Sara Arunagiri,CS5200,4.292242647058823,16.0,4.3296568627450975,4.260695187165775,4.010416666666667,4.266491596638656
Sara Arunagiri,CS6220,3.84845467032967,12.0,3.87127471294138,3.76517094017094,3.7262820512820514,3.9139749139749136
Sashank Narain,CS5010,3.638091082392553,12.0,3.7543465702779426,3.646588433353139,3.634556347791642,3.630854058795235
Scott Mancini,CS5250,4.53125,14.0,4.833333333333333,4.75,4.5,4.142857142857143
Seth Cooper,CS3520,3.9884615384615385,14.0,3.3999125874125875,3.9423076923076925,3.6009615384615383,3.7339743589743595
Seth Cooper,CS3540,3.812928984392801,12.0,3.8761824595157925,3.9059011164274327,3.9997546313335786,3.791656495133939
Seth Cooper,CS5310,4.12532825630252,12.0,4.4234068627450975,4.294117647058823,4.327205882352941,4.109618847539016
Seyhmus Guler,CS5020,4.125,16.0,3.388888888888889,4.0,4.333333333333333,4.095238095238096
Shujian Wen,CS5001,4.285714285714286,12.0,4.5,4.160714285714286,4.071428571428571,4.011526832955404
Sizhe Wen,CS6140,4.0996875,16.0,4.104166666666667,4.261363636363637,3.9541666666666666,4.189285714285715
Stacy Marsella,CS4100,5.0,12.0,5.0,5.0,5.0,5.0
Stacy Marsella,CS5100,3.939356203007519,14.0,3.8772765246449454,3.845238095238096,4.281328320802006,4.034094163981382
Stacy Marsella,CS6130,4.195275297619048,16.0,4.388541666666667,4.232514880952381,4.322250939849624,4.276828231292517
Stephen Intille,CS4520,4.46875,14.0,3.875,4.375,4.1875,4.285714285714286
Stephen Intille,CS5520,4.052906683833408,20.0,3.4948814223239513,3.974137931034483,4.313479623824452,4.1093692614628585
Steven Abramson,CS5004,4.096337313661096,19.0,3.5579879780775663,4.01580459770115,4.169540229885057,4.060986271903398
Steven Abramson,CS5040,3.9166666666666665,11.0,3.9125,4.1375,4.325,3.975
